DOI,title,created
10.18409/jas.v8i2.66.s23,['Figure 2'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v8i2.66.s25,['Figure 4'],"{'date-parts': [[2018, 1, 2]], 'date-time': '2018-01-02T15:44:30Z', 'timestamp': 1514907870000}"
10.18409/jas.v6i2.38.s2,"['Source files of ""Markov degree of configurations defined by fibers of a configuration""']","{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i2.46.s5,['Untitled'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i2.46.s3,['Untitled'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v10i1.100,"[""Stephen Fienberg's influence on algebraic statistics""]","{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.62,['Strongly Robust Toric Ideals in Codimension 2'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.71,['Generalized Fréchet Bounds for Cell Entries in Multidimensional Contingency Tables'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.72,['Cubature rules and expected value of some complex functions'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.75,['Maximum likelihood estimation of the Latent Class Model through model boundary decomposition'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.65,['Exact tests to compare contingency tables under quasi-independence and quasi-symmetry'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.73,['On Exchangeability in Network Models'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v10i1.74,['Inference for Ordinal Log-Linear Models Based on Algebraic Statistics'],"{'date-parts': [[2019, 4, 12]], 'date-time': '2019-04-12T12:42:25Z', 'timestamp': 1555072945000}"
10.18409/jas.v9i1.59,['Maximal Length Projections in Group Algebras with Applications to Linear Rank Tests of Uniformity'],"{'date-parts': [[2018, 9, 27]], 'date-time': '2018-09-27T13:50:00Z', 'timestamp': 1538056200000}"
10.18409/jas.v9i1.90,['Mixtures and products in two graphical models'],"{'date-parts': [[2018, 9, 27]], 'date-time': '2018-09-27T13:50:00Z', 'timestamp': 1538056200000}"
10.18409/jas.v6i2.45,['Uncovering Proximity of Chromosome Territories using Classical Algebraic Statistics'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i2.46,['A linear-algebraic tool for conditional independence inference'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i2.38,['Markov degree of configurations defined by fibers of a configuration'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i2.44,['The maximum likelihood degree of Fermat hypersurfaces'],"{'date-parts': [[2015, 11, 9]], 'date-time': '2015-11-09T16:39:53Z', 'timestamp': 1447087193000}"
10.18409/jas.v6i1.37,['The degeneration of the Grassmannian into a toric variety and the calculation of the eigenspaces of a torus action'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v5i1.22,['Varieties with maximum likelihood degree one'],"{'date-parts': [[2015, 7, 28]], 'date-time': '2015-07-28T17:39:47Z', 'timestamp': 1438105187000}"
10.18409/jas.v9i1.64,['The geometry of Sloppiness'],"{'date-parts': [[2018, 9, 27]], 'date-time': '2018-09-27T13:50:00Z', 'timestamp': 1538056200000}"
10.18409/jas.v7i1.41.s17,['References'],"{'date-parts': [[2016, 7, 12]], 'date-time': '2016-07-12T19:06:22Z', 'timestamp': 1468350382000}"
